20 undirected graphs in udwGs.txt.
** Note: Since (x,y,w) in E implies (y,x,w) in E, only one edge is listed.

** G1: |V|=10  V={0,1,...,9}
(u, v, w) E = { 
      ( 5, 90, 0.610)
      ( 5, 92, 0.066)
      ( 5, 95, 0.316)
      ( 5, 96, 0.690)
      ( 5, 98, 0.586)
      ( 5, 99, 0.997)
      ( 5, 100, 0.773)
      ( 5, 101, 0.537)
      ( 5, 102, 0.264)
      ( 5, 103, 0.451)
      ( 5, 106, 0.771)
      ( 5, 107, 0.549)
      ( 5, 110, 0.143)
      ( 5, 112, 0.324)
      ( 5, 113, 0.555)
      ( 5, 114, 0.575)
      ( 5, 115, 0.989)
      ( 5, 116, 0.502)
      ( 5, 118, 0.677)
      ( 5, 119, 0.407)
      ( 5, 120, 0.540)
      ( 5, 121, 0.730)
      ( 5, 123, 0.778)
      ( 5, 125, 0.233)
      ( 5, 129, 0.173)
      ( 6,  7, 0.744)
      ( 6,  8, 0.807)
      ( 6,  9, 0.859)
      ( 6, 11, 0.235)
      ( 6, 12, 0.415)
      ( 6, 13, 0.204)
      ( 6, 19, 0.665)
      ( 6, 20, 0.154)
      ( 6, 21, 0.178)
      ( 6, 23, 0.747)
      ( 6, 24, 0.158)
      ( 6, 26, 0.700)
      ( 6, 27, 0.596)
      ( 6, 29, 0.254)
      ( 6, 36, 0.459)
      ( 6, 37, 0.746)
      ( 6, 39, 0.520)
      ( 6, 41, 0.110)
      ( 6, 43, 0.058)
      ( 6, 45, 0.663)
      ( 6, 49, 0.922)
      ( 6, 50, 0.615)
      ( 6, 52, 0.688)
      ( 6, 54, 0.054)
      ( 6, 55, 0.165)
      ( 6, 56, 0.510)
      ( 6, 65, 0.219)
      ( 6, 66, 0.867)
      ( 6, 69, 0.149)
      ( 6, 70, 0.600)
      ( 6, 71, 0.087)
      ( 6, 76, 0.061)
      ( 6, 77, 0.513)
      ( 6, 80, 0.347)
      ( 6, 81, 0.850)
      ( 6, 82, 0.913)
      ( 6, 84, 0.833)
      ( 6, 86, 0.417)
      ( 6, 87, 0.155)
      ( 6, 88, 0.704)
      ( 6, 89, 0.532)
      ( 6, 90, 0.667)
      ( 6, 93, 0.542)
      ( 6, 95, 0.061)
      ( 6, 96, 0.054)
      ( 6, 97, 0.763)
      ( 6, 98, 0.259)
      ( 6, 99, 0.411)
      ( 6, 104, 0.700)
      ( 6, 105, 0.652)
      ( 6, 107, 0.475)
      ( 6, 108, 0.072)
      ( 6, 110, 0.409)
      ( 6, 111, 0.403)
      ( 6, 112, 0.064)
      ( 6, 116, 0.335)
      ( 6, 117, 0.681)
      ( 6, 119, 0.512)
      ( 6, 120, 0.453)
      ( 6, 121, 0.434)
      ( 6, 125, 0.787)
      ( 6, 127, 0.632)
      ( 6, 129, 0.832)
      ( 7, 10, 0.736)
      ( 7, 11, 0.387)
      ( 7, 16, 0.817)
      ( 7, 17, 0.432)
      ( 7, 19, 0.589)
      ( 7, 20, 0.684)
      ( 7, 22, 0.804)
      ( 7, 23, 0.431)
      ( 7, 25, 0.250)
      ( 7, 28, 0.292)
      ( 7, 29, 0.560)
      ( 7, 34, 0.522)
      ( 7, 36, 0.990)
      ( 7, 40, 0.049)
      ( 7, 44, 0.307)
      ( 7, 45, 0.109)
      ( 7, 46, 0.014)
      ( 7, 47, 0.130)
      ( 7, 51, 0.480)
      ( 7, 55, 0.609)
      ( 7, 59, 0.092)
      ( 7, 60, 0.930)
      ( 7, 62, 0.678)
      ( 7, 65, 0.344)
      ( 7, 68, 0.863)
      ( 7, 70, 0.360)
      ( 7, 71, 0.428)
      ( 7, 72, 0.082)
      ( 7, 73, 0.631)
      ( 7, 75, 0.409)
      ( 7, 76, 0.742)
      ( 7, 77, 0.355)
      ( 7, 78, 0.083)
      ( 7, 81, 0.016)
      ( 7, 82, 0.823)
      ( 7, 84, 0.322)
      ( 7, 85, 0.777)
      ( 7, 86, 0.597)
      ( 7, 87, 0.942)
      ( 7, 89, 0.065)
      ( 7, 95, 0.431)
      ( 7, 97, 0.834)
      ( 7, 98, 0.469)
      ( 7, 99, 0.915)
      ( 7, 104, 0.016)
      ( 7, 105, 0.670)
      ( 7, 106, 0.280)
      ( 7, 107, 0.604)
      ( 7, 108, 0.405)
      ( 7, 109, 0.780)
      ( 7, 111, 0.274)
      ( 7, 113, 0.772)
      ( 7, 116, 0.862)
      ( 7, 123, 0.226)
      ( 7, 126, 0.519)
      ( 7, 127, 0.659)
      ( 7, 128, 0.978)
      ( 8, 10, 0.348)
      ( 8, 11, 0.662)
      ( 8, 12, 0.596)
      ( 8, 13, 0.734)
      ( 8, 17, 0.449)
      ( 8, 18, 0.554)
      ( 8, 19, 0.239)
      ( 8, 20, 0.275)
      ( 8, 21, 0.279)
      ( 8, 23, 0.706)
      ( 8, 24, 0.398)
      ( 8, 25, 0.611)
      ( 8, 26, 0.836)
      ( 8, 28, 0.126)
      ( 8, 30, 0.664)
      ( 8, 31, 0.913)
      ( 8, 32, 0.553)
      ( 8, 33, 0.260)
      ( 8, 35, 0.992)
      ( 8, 37, 0.298)
      ( 8, 38, 0.496)
      ( 8, 41, 0.271)
      ( 8, 44, 0.867)
      ( 8, 45, 0.972)
      ( 8, 47, 0.808)
      ( 8, 49, 0.649)
      ( 8, 52, 0.658)
      ( 8, 54, 0.416)
      ( 8, 55, 0.277)
      ( 8, 56, 0.184)
      ( 8, 59, 0.291)
      ( 8, 61, 0.834)
      ( 8, 62, 0.546)
      ( 8, 63, 0.678)
      ( 8, 67, 0.434)
      ( 8, 69, 0.449)
      ( 8, 71, 0.215)
      ( 8, 72, 0.382)
      ( 8, 77, 0.979)
      ( 8, 78, 0.343)
      ( 8, 79, 0.767)
      ( 8, 81, 0.003)
      ( 8, 82, 0.702)
      ( 8, 84, 0.455)
      ( 8, 85, 0.066)
      ( 8, 86, 0.360)
      ( 8, 90, 0.659)
      ( 8, 94, 0.028)
      ( 8, 95, 0.901)
      ( 8, 96, 0.155)
      ( 8, 100, 0.035)
      ( 8, 101, 0.285)
      ( 8, 102, 0.927)
      ( 8, 104, 0.116)
      ( 8, 106, 0.888)
      ( 8, 107, 0.342)
      ( 8, 110, 0.174)
      ( 8, 112, 0.747)
      ( 8, 114, 0.470)
      ( 8, 117, 0.410)
      ( 8, 120, 0.189)
      ( 8, 121, 0.235)
      ( 8, 123, 0.575)
      ( 8, 124, 0.161)
      ( 8, 127, 0.787)
      ( 8, 129, 0.649)
      ( 9, 10, 0.677)
      ( 9, 15, 0.699)
      ( 9, 16, 0.343)
      ( 9, 18, 0.411)
      ( 9, 19, 0.458)
      ( 9, 20, 0.996)
      ( 9, 21, 0.524)
      ( 9, 23, 0.165)
      ( 9, 29, 0.690)
      ( 9, 30, 0.754)
      ( 9, 35, 0.374)
      ( 9, 41, 0.603)
      ( 9, 42, 0.333)
      ( 9, 45, 0.656)
      ( 9, 49, 0.694)
      ( 9, 51, 0.503)
      ( 9, 52, 0.156)
      ( 9, 61, 0.636)
      ( 9, 64, 0.763)
      ( 9, 66, 0.205)
      ( 9, 67, 0.119)
      ( 9, 69, 0.324)
      ( 9, 70, 0.500)
      ( 9, 71, 0.065)
      ( 9, 72, 0.292)
      ( 9, 75, 0.102)
      ( 9, 76, 0.341)
      ( 9, 77, 0.902)
      ( 9, 78, 0.063)
      ( 9, 79, 0.271)
      ( 9, 82, 0.253)
      ( 9, 83, 0.354)
      ( 9, 85, 0.984)
      ( 9, 86, 0.668)
      ( 9, 87, 0.502)
      ( 9, 89, 0.125)
      ( 9, 90, 0.661)
      ( 9, 91, 0.691)
      ( 9, 93, 0.027)
      ( 9, 94, 0.512)
      ( 9, 95, 0.730)
      ( 9, 96, 0.133)
      ( 9, 97, 0.527)
      ( 9, 98, 0.264)
      ( 9, 100, 0.105)
      ( 9, 103, 0.359)
      ( 9, 105, 0.653)
      ( 9, 106, 0.802)
      ( 9, 110, 0.358)
      ( 9, 113, 0.381)
      ( 9, 115, 0.031)
      ( 9, 116, 0.038)
      ( 9, 117, 0.321)
      ( 9, 118, 0.106)
      ( 9, 119, 0.177)
      ( 9, 120, 0.550)
      ( 9, 125, 0.717)
      ( 9, 126, 0.575)
      ( 9, 128, 0.773)
      (10, 11, 0.704)
      (10, 14, 0.925)
      (10, 17, 0.322)
      (10, 25, 0.155)
      (10, 28, 0.331)
      (10, 29, 0.782)
      (10, 33, 0.085)
      (10, 34, 0.347)
      (10, 37, 0.991)
      (10, 38, 0.649)
      (10, 39, 0.959)
      (10, 40, 0.422)
      (10, 42, 0.449)
      (10, 43, 0.861)
      (10, 44, 0.754)
      (10, 46, 0.497)
      (10, 48, 0.937)
      (10, 52, 0.062)
      (10, 55, 0.763)
      (10, 58, 0.206)
      (10, 60, 0.981)
      (10, 62, 0.851)
      (10, 65, 0.336)
      (10, 67, 0.064)
      (10, 70, 0.029)
      (10, 72, 0.659)
      (10, 73, 0.702)
      (10, 74, 0.729)
      (10, 75, 0.932)
      (10, 76, 0.725)
      (10, 77, 0.218)
      (10, 78, 0.828)
      (10, 82, 0.315)
      (10, 89, 0.611)
      (10, 91, 0.819)
      (10, 94, 0.651)
      (10, 95, 0.276)
      (10, 96, 0.702)
      (10, 100, 0.772)
      (10, 102, 0.725)
      (10, 105, 0.387)
      (10, 107, 0.773)
      (10, 108, 0.971)
      (10, 109, 0.012)
      (10, 110, 0.927)
      (10, 111, 0.785)
      (10, 112, 0.917)
      (10, 113, 0.222)
      (10, 119, 0.405)
      (10, 120, 0.742)
      (10, 123, 0.195)
      (10, 124, 0.535)
      (10, 128, 0.913)
      (11, 12, 0.612)
      (11, 13, 0.771)
      (11, 14, 0.835)
      (11, 15, 0.566)
      (11, 17, 0.041)
      (11, 20, 0.648)
      (11, 24, 0.422)
      (11, 25, 0.309)
      (11, 26, 0.806)
      (11, 27, 0.455)
      (11, 31, 0.045)
      (11, 32, 0.684)
      (11, 34, 0.754)
      (11, 35, 0.380)
      (11, 37, 0.018)
      (11, 40, 0.690)
      (11, 42, 0.270)
      (11, 43, 0.425)
      (11, 45, 0.125)
      (11, 46, 0.783)
      (11, 50, 0.152)
      (11, 60, 0.365)
      (11, 61, 0.991)
      (11, 62, 0.154)
      (11, 64, 0.123)
      (11, 65, 0.911)
      (11, 66, 0.627)
      (11, 67, 0.874)
      (11, 68, 0.163)
      (11, 70, 0.564)
      (11, 72, 0.872)
      (11, 73, 0.201)
      (11, 76, 0.200)
      (11, 77, 0.324)
      (11, 80, 0.529)
      (11, 91, 0.310)
      (11, 94, 0.722)
      (11, 97, 0.949)
      (11, 99, 0.123)
      (11, 101, 0.990)
      (11, 102, 0.336)
      (11, 103, 0.718)
      (11, 104, 0.299)
      (11, 106, 0.399)
      (11, 107, 0.329)
      (11, 108, 0.739)
      (11, 109, 0.082)
      (11, 110, 0.779)
      (11, 111, 0.846)
      (11, 112, 0.663)
      (11, 113, 0.388)
      (11, 114, 0.174)
      (11, 117, 0.384)
      (11, 118, 0.310)
      (11, 120, 0.429)
      (11, 123, 0.559)
      (11, 124, 0.914)
      (11, 127, 0.118)
      (11, 128, 0.888)
      (11, 129, 0.473)
      (12, 15, 0.111)
      (12, 17, 0.497)
      (12, 18, 0.048)
      (12, 19, 0.194)
      (12, 20, 0.821)
      (12, 21, 0.163)
      (12, 22, 0.377)
      (12, 23, 0.757)
      (12, 24, 0.141)
      (12, 26, 0.271)
      (12, 28, 0.413)
      (12, 31, 0.577)
      (12, 34, 0.207)
      (12, 35, 0.677)
      (12, 36, 0.195)
      (12, 38, 0.313)
      (12, 40, 0.063)
      (12, 44, 0.011)
      (12, 50, 0.880)
      (12, 51, 0.606)
      (12, 53, 0.809)
      (12, 54, 0.311)
      (12, 55, 0.655)
      (12, 58, 0.757)
      (12, 61, 0.523)
      (12, 63, 0.835)
      (12, 65, 0.507)
      (12, 67, 0.002)
      (12, 68, 0.369)
      (12, 69, 0.366)
      (12, 71, 0.946)
      (12, 72, 0.991)
      (12, 73, 0.666)
      (12, 75, 0.721)
      (12, 76, 0.292)
      (12, 78, 0.267)
      (12, 79, 0.638)
      (12, 81, 0.407)
      (12, 82, 0.734)
      (12, 89, 0.040)
      (12, 91, 0.018)
      (12, 92, 0.395)
      (12, 93, 0.947)
      (12, 94, 0.303)
      (12, 95, 0.696)
      (12, 96, 0.717)
      (12, 99, 0.707)
      (12, 102, 0.404)
      (12, 103, 0.089)
      (12, 104, 0.195)
      (12, 106, 0.593)
      (12, 109, 0.487)
      (12, 110, 0.999)
      (12, 111, 0.943)
      (12, 112, 0.576)
      (12, 115, 0.864)
      (12, 116, 0.293)
      (12, 117, 0.393)
      (12, 118, 0.004)
      (12, 120, 0.236)
      (12, 123, 0.866)
      (12, 125, 0.531)
      (12, 126, 0.280)
      (12, 128, 0.877)
      (12, 129, 0.989)
      (13, 14, 0.697)
      (13, 15, 0.278)
      (13, 16, 0.342)
      (13, 17, 0.338)
      (13, 19, 0.784)
      (13, 21, 0.407)
      (13, 22, 0.986)
      (13, 23, 0.700)
      (13, 24, 0.907)
      (13, 25, 0.061)
      (13, 26, 0.619)
      (13, 27, 0.598)
      (13, 30, 0.667)
      (13, 31, 0.070)
      (13, 33, 0.898)
      (13, 34, 0.851)
      (13, 37, 0.936)
      (13, 38, 0.713)
      (13, 40, 0.643)
      (13, 44, 0.402)
      (13, 47, 0.674)
      (13, 49, 0.760)
      (13, 54, 0.143)
      (13, 55, 0.563)
      (13, 56, 0.689)
      (13, 58, 0.031)
      (13, 59, 0.619)
      (13, 60, 0.209)
      (13, 61, 0.388)
      (13, 62, 0.919)
      (13, 63, 0.476)
      (13, 64, 0.351)
      (13, 69, 0.507)
      (13, 72, 0.421)
      (13, 74, 0.662)
      (13, 76, 0.944)
      (13, 79, 0.553)
      (13, 82, 0.236)
      (13, 84, 0.421)
      (13, 85, 0.756)
      (13, 87, 0.145)
      (13, 88, 0.635)
      (13, 89, 0.032)
      (13, 90, 0.598)
      (13, 91, 0.776)
      (13, 93, 0.923)
      (13, 95, 0.635)
      (13, 96, 0.267)
      (13, 97, 0.531)
      (13, 98, 0.466)
      (13, 99, 0.099)
      (13, 101, 0.093)
      (13, 102, 0.195)
      (13, 103, 0.485)
      (13, 105, 0.989)
      (13, 108, 0.062)
      (13, 111, 0.748)
      (13, 113, 0.016)
      (13, 115, 0.077)
      (13, 117, 0.122)
      (13, 118, 0.715)
      (13, 119, 0.710)
      (13, 120, 0.528)
      (13, 121, 0.417)
      (13, 125, 0.981)
      (13, 127, 0.429)
      (13, 128, 0.819)
      (13, 129, 0.879)
      (14, 15, 0.661)
      (14, 17, 0.920)
      (14, 19, 0.726)
      (14, 20, 0.820)
      (14, 21, 0.400)
      (14, 22, 0.206)
      (14, 24, 0.190)
      (14, 26, 0.898)
      (14, 28, 0.940)
      (14, 29, 0.701)
      (14, 30, 0.689)
      (14, 32, 0.133)
      (14, 34, 0.194)
      (14, 35, 0.489)
      (14, 38, 0.830)
      (14, 41, 0.421)
      (14, 43, 0.067)
      (14, 47, 0.643)
      (14, 49, 0.220)
      (14, 50, 0.352)
      (14, 51, 0.234)
      (14, 52, 0.940)
      (14, 54, 0.317)
      (14, 58, 0.003)
      (14, 60, 0.649)
      (14, 61, 0.834)
      (14, 63, 0.907)
      (14, 64, 0.777)
      (14, 65, 0.087)
      (14, 67, 0.096)
      (14, 70, 0.025)
      (14, 73, 0.277)
      (14, 76, 0.168)
      (14, 78, 0.100)
      (14, 79, 0.643)
      (14, 80, 0.684)
      (14, 81, 0.355)
      (14, 82, 0.321)
      (14, 84, 0.221)
      (14, 87, 0.093)
      (14, 88, 0.183)
      (14, 89, 0.272)
      (14, 94, 0.234)
      (14, 96, 0.781)
      (14, 97, 0.555)
      (14, 99, 0.748)
      (14, 105, 0.167)
      (14, 106, 0.449)
      (14, 107, 0.262)
      (14, 108, 0.955)
      (14, 109, 0.014)
      (14, 110, 0.044)
      (14, 113, 0.025)
      (14, 114, 0.824)
      (14, 115, 0.283)
      (14, 116, 0.925)
      (14, 118, 0.279)
      (14, 121, 0.573)
      (14, 125, 0.618)
      (14, 126, 0.731)
      (14, 128, 0.564)
      (14, 129, 0.355)
      (15, 16, 0.639)
      (15, 18, 0.551)
      (15, 22, 0.904)
      (15, 23, 0.687)
      (15, 24, 0.331)
      (15, 25, 0.649)
      (15, 27, 0.788)
      (15, 29, 0.157)
      (15, 30, 0.317)
      (15, 31, 0.296)
      (15, 32, 0.379)
      (15, 33, 0.836)
      (15, 34, 0.666)
      (15, 35, 0.984)
      (15, 37, 0.430)
      (15, 38, 0.714)
      (15, 39, 0.440)
      (15, 40, 0.640)
      (15, 44, 0.947)
      (15, 46, 0.414)
      (15, 47, 0.087)
      (15, 51, 0.274)
      (15, 52, 0.035)
      (15, 53, 0.461)
      (15, 54, 0.877)
      (15, 55, 0.887)
      (15, 56, 0.511)
      (15, 59, 0.326)
      (15, 60, 0.037)
      (15, 62, 0.318)
      (15, 64, 0.801)
      (15, 65, 0.570)
      (15, 66, 0.939)
      (15, 67, 0.201)
      (15, 68, 0.386)
      (15, 72, 0.437)
      (15, 73, 0.669)
      (15, 74, 0.113)
      (15, 75, 0.515)
      (15, 76, 0.370)
      (15, 77, 0.576)
      (15, 78, 0.517)
      (15, 80, 0.235)
      (15, 84, 0.061)
      (15, 85, 0.964)
      (15, 87, 0.118)
      (15, 89, 0.819)
      (15, 94, 0.784)
      (15, 97, 0.881)
      (15, 99, 0.799)
      (15, 101, 0.531)
      (15, 104, 1.000)
      (15, 105, 0.123)
      (15, 106, 0.416)
      (15, 107, 0.281)
      (15, 110, 0.404)
      (15, 111, 0.912)
      (15, 113, 0.314)
      (15, 114, 0.158)
      (15, 119, 0.878)
      (15, 121, 0.404)
      (15, 125, 0.599)
      (15, 126, 0.978)
      (15, 127, 0.090)
      (15, 128, 0.147)
      (15, 129, 0.883)
      (16, 18, 0.985)
      (16, 19, 0.786)
      (16, 21, 0.814)
      (16, 23, 0.420)
      (16, 25, 0.585)
      (16, 27, 0.217)
      (16, 29, 0.084)
      (16, 30, 0.285)
      (16, 32, 0.514)
      (16, 33, 0.475)
      (16, 35, 0.316)
      (16, 36, 0.562)
      (16, 38, 0.174)
      (16, 40, 0.955)
      (16, 41, 0.772)
      (16, 47, 0.260)
      (16, 49, 0.951)
      (16, 50, 0.624)
      (16, 52, 0.454)
      (16, 53, 0.057)
      (16, 58, 0.207)
      (16, 59, 0.199)
      (16, 60, 0.329)
      (16, 61, 0.809)
      (16, 62, 0.304)
      (16, 63, 0.914)
      (16, 64, 0.570)
      (16, 66, 0.189)
      (16, 67, 0.444)
      (16, 69, 0.040)
      (16, 70, 0.706)
      (16, 73, 0.720)
      (16, 81, 0.340)
      (16, 84, 0.925)
      (16, 87, 0.010)
      (16, 90, 0.953)
      (16, 91, 0.730)
      (16, 92, 0.909)
      (16, 93, 0.251)
      (16, 94, 0.527)
      (16, 95, 0.516)
      (16, 97, 0.110)
      (16, 99, 0.983)
      (16, 100, 0.364)
      (16, 103, 0.900)
      (16, 104, 0.748)
      (16, 105, 0.845)
      (16, 106, 0.325)
      (16, 109, 0.213)
      (16, 110, 0.340)
      (16, 111, 0.994)
      (16, 116, 0.211)
      (16, 119, 0.255)
      (16, 120, 0.873)
      (16, 121, 0.659)
      (16, 127, 0.153)
      (17, 20, 0.897)
      (17, 25, 0.785)
      (17, 29, 0.986)
      (17, 30, 0.042)
      (17, 32, 0.352)
      (17, 33, 0.378)
      (17, 34, 0.801)
      (17, 35, 0.863)
      (17, 36, 0.023)
      (17, 38, 0.133)
      (17, 39, 0.634)
      (17, 40, 0.478)
      (17, 42, 0.059)
      (17, 44, 0.221)
      (17, 48, 0.405)
      (17, 49, 0.690)
      (17, 51, 0.803)
      (17, 53, 0.393)
      (17, 54, 0.418)
      (17, 55, 0.142)
      (17, 58, 0.120)
      (17, 59, 0.376)
      (17, 63, 0.933)
      (17, 64, 0.950)
      (17, 65, 0.183)
      (17, 67, 0.794)
      (17, 69, 0.416)
      (17, 72, 0.796)
      (17, 74, 0.688)
      (17, 75, 0.669)
      (17, 76, 0.733)
      (17, 78, 0.557)
      (17, 82, 0.608)
      (17, 84, 0.527)
      (17, 85, 0.949)
      (17, 86, 0.480)
      (17, 87, 0.545)
      (17, 89, 0.182)
      (17, 90, 0.134)
      (17, 91, 0.308)
      (17, 93, 0.452)
      (17, 94, 0.352)
      (17, 97, 0.512)
      (17, 101, 0.741)
      (17, 102, 0.003)
      (17, 103, 0.357)
      (17, 105, 0.622)
      (17, 113, 0.124)
      (17, 114, 0.181)
      (17, 116, 0.287)
      (17, 117, 0.634)
      (17, 118, 0.241)
      (17, 120, 0.682)
      (17, 121, 0.173)
      (17, 123, 0.865)
      (17, 124, 0.687)
      (17, 126, 0.626)
      (17, 127, 0.931)
      (17, 129, 0.585)
      (18, 21, 0.347)
      (18, 23, 0.657)
      (18, 25, 0.028)
      (18, 27, 0.643)
      (18, 29, 0.162)
      (18, 31, 0.931)
      (18, 34, 0.128)
      (18, 36, 0.093)
      (18, 37, 0.477)
      (18, 40, 0.689)
      (18, 41, 0.207)
      (18, 45, 0.950)
      (18, 46, 0.959)
      (18, 47, 0.059)
      (18, 48, 0.016)
      (18, 49, 0.470)
      (18, 51, 0.311)
      (18, 53, 0.515)
      (18, 56, 0.058)
      (18, 57, 0.815)
      (18, 58, 0.701)
      (18, 60, 0.920)
      (18, 62, 0.681)
      (18, 63, 0.822)
      (18, 64, 0.146)
      (18, 66, 0.413)
      (18, 68, 0.263)
      (18, 69, 0.620)
      (18, 73, 0.869)
      (18, 74, 0.494)
      (18, 81, 0.947)
      (18, 82, 0.238)
      (18, 83, 0.989)
      (18, 87, 0.525)
      (18, 88, 0.830)
      (18, 90, 0.960)
      (18, 93, 0.793)
      (18, 102, 0.536)
      (18, 106, 0.041)
      (18, 107, 0.132)
      (18, 108, 0.189)
      (18, 109, 0.655)
      (18, 111, 0.679)
      (18, 112, 0.312)
      (18, 115, 0.941)
      (18, 116, 0.706)
      (18, 117, 0.135)
      (18, 118, 0.138)
      (18, 119, 0.675)
      (18, 120, 0.514)
      (18, 124, 0.961)
      (18, 126, 0.072)
      (18, 127, 0.694)
      (18, 128, 0.238)
      (19, 21, 0.035)
      (19, 23, 0.219)
      (19, 24, 0.132)
      (19, 26, 0.636)
      (19, 27, 0.485)
      (19, 29, 0.724)
      (19, 31, 0.052)
      (19, 33, 0.472)
      (19, 35, 0.497)
      (19, 36, 0.914)
      (19, 38, 0.659)
      (19, 41, 0.440)
      (19, 47, 0.873)
      (19, 48, 0.186)
      (19, 49, 0.953)
      (19, 50, 0.869)
      (19, 53, 0.954)
      (19, 54, 0.857)
      (19, 59, 0.738)
      (19, 61, 0.153)
      (19, 63, 0.340)
      (19, 64, 0.622)
      (19, 66, 0.161)
      (19, 69, 0.346)
      (19, 70, 0.621)
      (19, 71, 0.008)
      (19, 73, 0.583)
      (19, 74, 0.579)
      (19, 75, 0.211)
      (19, 76, 0.244)
      (19, 79, 0.904)
      (19, 80, 0.027)
      (19, 83, 0.268)
      (19, 84, 0.228)
      (19, 90, 0.177)
      (19, 93, 0.923)
      (19, 96, 0.562)
      (19, 100, 0.900)
      (19, 102, 0.701)
      (19, 103, 0.761)
      (19, 105, 0.144)
      (19, 106, 0.135)
      (19, 115, 0.570)
      (19, 116, 0.153)
      (19, 119, 0.613)
      (19, 121, 0.475)
      (19, 125, 0.081)
      (19, 127, 0.010)
      (19, 128, 0.805)
      (19, 129, 0.375)
      (20, 21, 0.247)
      (20, 23, 0.620)
      (20, 26, 0.753)
      (20, 27, 0.397)
      (20, 30, 0.127)
      (20, 31, 0.939)
      (20, 32, 0.864)
      (20, 33, 0.741)
      (20, 34, 0.644)
      (20, 35, 0.901)
      (20, 36, 0.322)
      (20, 37, 0.775)
      (20, 38, 0.033)
      (20, 40, 0.827)
      (20, 41, 0.904)
      (20, 42, 0.785)
      (20, 43, 0.116)
      (20, 44, 0.105)
      (20, 45, 0.530)
      (20, 47, 0.966)
      (20, 50, 0.129)
      (20, 51, 0.123)
      (20, 53, 0.064)
      (20, 55, 0.838)
      (20, 57, 0.934)
      (20, 60, 0.091)
      (20, 63, 0.148)
      (20, 64, 0.590)
      (20, 65, 0.052)
      (20, 66, 0.771)
      (20, 67, 0.048)
      (20, 69, 0.603)
      (20, 70, 0.115)
      (20, 71, 0.347)
      (20, 75, 0.843)
      (20, 77, 0.296)
      (20, 80, 0.005)
      (20, 81, 0.621)
      (20, 82, 0.567)
      (20, 84, 0.719)
      (20, 86, 0.166)
      (20, 87, 0.474)
      (20, 88, 0.284)
      (20, 90, 0.800)
